SUID;adjustedPValue_Bingo-astrocytoma-unique;description_Bingo-astrocytoma-unique;N_Bingo-astrocytoma-unique;name;nn_Bingo-astrocytoma-unique;nodeFillColor_Bingo-astrocytoma-unique;nodeFontSize_Bingo-astrocytoma-unique;nodeSize_Bingo-astrocytoma-unique;nodeType_Bingo-astrocytoma-unique;pValue_Bingo-astrocytoma-unique;selected;shared name;X_Bingo-astrocytoma-unique;xx_Bingo-astrocytoma-unique
148611;4.73E-07;negative regulation of macromolecule metabolic process;14306;10605;802;6.32528645;14;11.83215957;ellipse;1.41E-08;false;10605;217;35
148731;4.81E-07;positive regulation of peptidyl-tyrosine phosphorylation;14306;50731;58;6.318285958;14;6.32455532;ellipse;1.45E-08;false;50731;217;10
150084;4.89E-07;positive regulation of apoptosis;14306;43065;442;6.31076354;14;10;ellipse;1.49E-08;false;43065;217;25
149410;4.93E-07;positive regulation of developmental process;14306;51094;347;6.306778429;14;9.38083152;ellipse;1.53E-08;false;51094;217;22
150707;5.45E-07;positive regulation of programmed cell death;14306;43068;445;6.263513916;14;10;ellipse;1.71E-08;false;43068;217;25
150870;5.57E-07;negative regulation of programmed cell death;14306;43069;381;6.254293354;14;9.591663047;ellipse;1.77E-08;false;43069;217;23
149052;6.80E-07;positive regulation of immune system process;14306;2684;265;6.16736492;14;8.717797887;ellipse;2.18E-08;false;2684;217;19
150052;7.65E-07;negative regulation of macromolecule biosynthetic process;14306;10558;593;6.116566351;14;10.77032961;ellipse;2.48E-08;false;10558;217;29
149373;7.90E-07;negative regulation of cell death;14306;60548;389;6.102515898;14;9.591663047;ellipse;2.60E-08;false;60548;217;23
148737;7.94E-07;organ development;14306;48513;1792;6.100069353;14;15.09966887;ellipse;2.64E-08;false;48513;217;57
151127;9.44E-07;ovulation cycle;14306;42698;80;6.024908485;14;6.633249581;ellipse;3.18E-08;false;42698;217;11
148597;9.93E-07;regulation of developmental process;14306;50793;791;6.002893388;14;11.66190379;ellipse;3.38E-08;false;50793;217;34
148391;1.06E-06;regulation of T cell activation;14306;50863;121;5.975549605;14;7.211102551;ellipse;3.65E-08;false;50863;217;13
150446;1.13E-06;signaling process;14306;23046;2157;5.948852055;14;16;ellipse;3.96E-08;false;23046;217;64
150447;1.13E-06;signal transmission;14306;23060;2157;5.948852055;14;16;ellipse;3.96E-08;false;23060;217;64
148690;1.34E-06;system development;14306;48731;2422;5.874330834;14;16.61324773;ellipse;4.76E-08;false;48731;217;69
149764;1.70E-06;anatomical structure formation involved in morphogenesis;14306;48646;375;5.770828003;14;9.38083152;ellipse;6.11E-08;false;48646;217;22
148700;1.80E-06;positive regulation of cell differentiation;14306;45597;255;5.745646352;14;8.485281374;ellipse;6.61E-08;false;45597;217;18
154974;1.80E-06;protein modification by small protein conjugation or removal;14306;70647;255;5.745646352;14;8.485281374;ellipse;6.61E-08;false;70647;217;18
151878;1.82E-06;negative regulation of biosynthetic process;14306;9890;621;5.740579338;14;10.77032961;ellipse;6.76E-08;false;9890;217;29
148692;1.91E-06;anatomical structure development;14306;48856;2656;5.719877517;14;17.08800749;ellipse;7.16E-08;false;48856;217;73
148361;2.24E-06;positive regulation of protein modification process;14306;31401;231;5.649871142;14;8.246211251;ellipse;8.51E-08;false;31401;217;17
149193;2.40E-06;positive regulation of cellular protein metabolic process;14306;32270;290;5.620483794;14;8.717797887;ellipse;9.19E-08;false;32270;217;19
152315;2.41E-06;cytokine-mediated signaling pathway;14306;19221;70;5.617718431;14;6.32455532;ellipse;9.40E-08;false;19221;217;10
152708;2.41E-06;positive regulation of phosphorylation;14306;42327;131;5.617718431;14;7.211102551;ellipse;9.44E-08;false;42327;217;13
148630;2.43E-06;cellular developmental process;14306;48869;1714;5.614612162;14;14.69693846;ellipse;9.60E-08;false;48869;217;54
149012;2.46E-06;cell development;14306;48468;632;5.608239385;14;10.77032961;ellipse;9.84E-08;false;48468;217;29
148601;2.52E-06;regulation of cellular protein metabolic process;14306;32268;559;5.598632218;14;10.39230485;ellipse;1.02E-07;false;32268;217;27
150103;2.58E-06;regulation of response to stimulus;14306;48583;524;5.588875621;14;10.19803903;ellipse;1.06E-07;false;48583;217;26
150989;2.58E-06;initiation of signal transduction;14306;23036;71;5.588875621;14;6.32455532;ellipse;1.08E-07;false;23036;217;10
151562;2.58E-06;signal initiation by diffusible mediator;14306;23038;71;5.588875621;14;6.32455532;ellipse;1.08E-07;false;23038;217;10
151563;2.58E-06;signal initiation by protein/peptide mediator;14306;23049;71;5.588875621;14;6.32455532;ellipse;1.08E-07;false;23049;217;10
148920;2.72E-06;positive regulation of protein kinase activity;14306;45860;236;5.565743931;14;8.246211251;ellipse;1.16E-07;false;45860;217;17
149259;2.72E-06;regulation of lymphocyte activation;14306;51249;157;5.565743931;14;7.483314774;ellipse;1.16E-07;false;51249;217;14
148328;2.84E-06;positive regulation of phosphorus metabolic process;14306;10562;134;5.546383219;14;7.211102551;ellipse;1.24E-07;false;10562;217;13
148329;2.84E-06;positive regulation of phosphate metabolic process;14306;45937;134;5.546383219;14;7.211102551;ellipse;1.24E-07;false;45937;217;13
148379;2.85E-06;regulation of anti-apoptosis;14306;45767;40;5.545813595;14;5.656854249;ellipse;1.25E-07;false;45767;217;8
148669;3.15E-06;ovulation cycle process;14306;22602;73;5.501433301;14;6.32455532;ellipse;1.41E-07;false;22602;217;10
148826;3.15E-06;positive regulation of cellular biosynthetic process;14306;31328;720;5.501433301;14;11.13552873;ellipse;1.42E-07;false;31328;217;31
150041;3.15E-06;positive regulation of response to stimulus;14306;48584;268;5.501433301;14;8.485281374;ellipse;1.40E-07;false;48584;217;18
149111;3.96E-06;regulation of protein modification process;14306;31399;366;5.401834944;14;9.16515139;ellipse;1.80E-07;false;31399;217;21
150328;4.19E-06;regulation of macromolecule metabolic process;14306;60255;3377;5.378023685;14;18.43908891;ellipse;1.93E-07;false;60255;217;85
153147;4.19E-06;reproduction;14306;3;810;5.378023685;14;11.48912529;ellipse;1.93E-07;false;3;217;33
148707;4.26E-06;positive regulation of kinase activity;14306;33674;245;5.370119979;14;8.246211251;ellipse;1.99E-07;false;33674;217;17
149624;4.61E-06;regulation of cell activation;14306;50865;191;5.336006189;14;7.745966692;ellipse;2.17E-07;false;50865;217;15
148657;4.71E-06;regulation of multicellular organismal process;14306;51239;1067;5.327167783;14;12.489996;ellipse;2.23E-07;false;51239;217;39
149313;4.78E-06;cell cycle process;14306;22402;582;5.320482138;14;10.39230485;ellipse;2.28E-07;false;22402;217;27
148835;4.88E-06;positive regulation of T cell activation;14306;50870;77;5.311512089;14;6.32455532;ellipse;2.37E-07;false;50870;217;10
150381;4.88E-06;regulation of peptidyl-tyrosine phosphorylation;14306;50730;77;5.311512089;14;6.32455532;ellipse;2.37E-07;false;50730;217;10
148631;5.12E-06;cell differentiation;14306;30154;1668;5.290754607;14;14.4222051;ellipse;2.51E-07;false;30154;217;52
148362;5.53E-06;positive regulation of protein amino acid phosphorylation;14306;1934;120;5.257364129;14;6.92820323;ellipse;2.74E-07;false;1934;217;12
149724;5.53E-06;positive regulation of intracellular protein kinase cascade;14306;10740;222;5.257364129;14;8;ellipse;2.75E-07;false;10740;217;16
149579;5.61E-06;negative regulation of gene expression;14306;10629;551;5.25095253;14;10.19803903;ellipse;2.81E-07;false;10629;217;26
148540;5.94E-06;positive regulation of cell activation;14306;50867;121;5.226394165;14;6.92820323;ellipse;3.00E-07;false;50867;217;12
149559;6.06E-06;negative regulation of cellular metabolic process;14306;31324;786;5.21748267;14;11.3137085;ellipse;3.08E-07;false;31324;217;32
150894;6.08E-06;aging;14306;7568;145;5.216140227;14;7.211102551;ellipse;3.12E-07;false;7568;217;13
149089;6.22E-06;negative regulation of cell proliferation;14306;8285;379;5.206041971;14;9.16515139;ellipse;3.22E-07;false;8285;217;21
148706;6.33E-06;positive regulation of transferase activity;14306;51347;254;5.198605112;14;8.246211251;ellipse;3.32E-07;false;51347;217;17
149364;6.33E-06;response to steroid hormone stimulus;14306;48545;225;5.198605112;14;8;ellipse;3.30E-07;false;48545;217;16
149560;6.33E-06;negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;14306;45934;556;5.198505926;14;10.19803903;ellipse;3.35E-07;false;45934;217;26
151848;6.93E-06;anti-apoptosis;14306;6916;199;5.159351294;14;7.745966692;ellipse;3.69E-07;false;6916;217;15
151143;7.53E-06;regulation of response to stress;14306;80134;319;5.123397189;14;8.717797887;ellipse;4.04E-07;false;80134;217;19
150953;7.61E-06;negative regulation of nitrogen compound metabolic process;14306;51172;562;5.118634216;14;10.19803903;ellipse;4.11E-07;false;51172;217;26
151623;8.30E-06;regulation of primary metabolic process;14306;80090;3554;5.08112178;14;18.65475811;ellipse;4.52E-07;false;80090;217;87
148538;8.39E-06;positive regulation of gene expression;14306;10628;603;5.076052786;14;10.39230485;ellipse;4.60E-07;false;10628;217;27
151792;8.99E-06;negative regulation of transcription;14306;16481;494;5.046339774;14;9.797958971;ellipse;4.96E-07;false;16481;217;24
148380;9.09E-06;positive regulation of anti-apoptosis;14306;45768;33;5.041502721;14;5.291502622;ellipse;5.12E-07;false;45768;217;7
148866;9.09E-06;regulation of immune system process;14306;2682;424;5.041502721;14;9.38083152;ellipse;5.10E-07;false;2682;217;22
151287;9.09E-06;initiation of viral infection;14306;19059;21;5.041502721;14;4.898979486;ellipse;5.10E-07;false;19059;217;6
148834;9.56E-06;positive regulation of lymphocyte activation;14306;51251;105;5.019529962;14;6.633249581;ellipse;5.43E-07;false;51251;217;11
148660;9.68E-06;reproductive process;14306;22414;807;5.014170147;14;11.3137085;ellipse;5.53E-07;false;22414;217;32
148712;1.01E-05;developmental process;14306;32502;3235;4.996675519;14;18;ellipse;5.80E-07;false;32502;217;81
149775;1.01E-05;regulation of leukocyte activation;14306;2694;179;4.996417783;14;7.483314774;ellipse;5.84E-07;false;2694;217;14
151685;1.02E-05;negative regulation of cellular biosynthetic process;14306;31327;611;4.991220099;14;10.39230485;ellipse;5.95E-07;false;31327;217;27
151369;1.07E-05;regulation of T cell proliferation;14306;42129;66;4.969514634;14;6;ellipse;6.30E-07;false;42129;217;9
149448;1.16E-05;macromolecule catabolic process;14306;9057;503;4.93543753;14;9.797958971;ellipse;6.86E-07;false;9057;217;24
148642;1.17E-05;multicellular organismal development;14306;7275;2972;4.931193781;14;17.43559577;ellipse;6.97E-07;false;7275;217;76
148554;1.18E-05;intracellular protein kinase cascade;14306;7243;364;4.928641913;14;8.94427191;ellipse;7.11E-07;false;7243;217;20
150950;1.18E-05;signal transmission via phosphorylation event;14306;23014;364;4.928641913;14;8.94427191;ellipse;7.11E-07;false;23014;217;20
150751;1.37E-05;regulation of cell growth;14306;1558;212;4.864522894;14;7.745966692;ellipse;8.29E-07;false;1558;217;15
152102;1.70E-05;regulation of MAPKKK cascade;14306;43408;161;4.769009409;14;7.211102551;ellipse;1.04E-06;false;43408;217;13
149931;1.74E-05;regulation of cell differentiation;14306;45595;553;4.760699831;14;10;ellipse;1.07E-06;false;45595;217;25
148474;1.80E-05;regulation of protein amino acid phosphorylation;14306;1932;217;4.744785581;14;7.745966692;ellipse;1.11E-06;false;1932;217;15
148616;1.88E-05;generation of neurons;14306;48699;594;4.725446518;14;10.19803903;ellipse;1.17E-06;false;48699;217;26
149306;1.96E-05;response to stimulus;14306;50896;3633;4.708618385;14;18.65475811;ellipse;1.23E-06;false;50896;217;87
148845;2.10E-05;blood vessel morphogenesis;14306;48514;220;4.677902728;14;7.745966692;ellipse;1.32E-06;false;48514;217;15
153181;2.11E-05;female gonad development;14306;8585;72;4.675490203;14;6;ellipse;1.34E-06;false;8585;217;9
149994;2.11E-05;positive regulation of nitrogen compound metabolic process;14306;51173;677;4.674964767;14;10.58300524;ellipse;1.35E-06;false;51173;217;28
151734;2.14E-05;positive regulation of molecular function;14306;44093;638;4.6705301;14;10.39230485;ellipse;1.37E-06;false;44093;217;27
150339;2.19E-05;regulation of lymphocyte proliferation;14306;50670;93;4.660083583;14;6.32455532;ellipse;1.41E-06;false;50670;217;10
148541;2.28E-05;positive regulation of leukocyte activation;14306;2696;116;4.642545503;14;6.633249581;ellipse;1.48E-06;false;2696;217;11
150833;2.33E-05;organelle organization;14306;6996;1382;4.631925951;14;13.26649916;ellipse;1.53E-06;false;6996;217;44
150338;2.37E-05;regulation of mononuclear cell proliferation;14306;32944;94;4.624787384;14;6.32455532;ellipse;1.56E-06;false;32944;217;10
152577;2.60E-05;regulation of leukocyte proliferation;14306;70663;95;4.58478676;14;6.32455532;ellipse;1.72E-06;false;70663;217;10
148931;3.24E-05;positive regulation of transcription;14306;45941;575;4.489507548;14;10;ellipse;2.16E-06;false;45941;217;25
149127;3.35E-05;regulation of cellular component organization;14306;51128;538;4.474712193;14;9.797958971;ellipse;2.24E-06;false;51128;217;24
148837;3.45E-05;positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;14306;45935;656;4.462022129;14;10.39230485;ellipse;2.32E-06;false;45935;217;27
149328;3.71E-05;cellular response to stress;14306;33554;619;4.431022575;14;10.19803903;ellipse;2.51E-06;false;33554;217;26
149163;3.89E-05;development of primary female sexual characteristics;14306;46545;78;4.409741086;14;6;ellipse;2.65E-06;false;46545;217;9
149626;3.96E-05;negative regulation of transcription, DNA-dependent;14306;45892;397;4.402254978;14;8.94427191;ellipse;2.71E-06;false;45892;217;20
152476;3.98E-05;response to extracellular stimulus;14306;9991;264;4.399666579;14;8;ellipse;2.75E-06;false;9991;217;16
148435;4.09E-05;negative regulation of cell cycle;14306;45786;176;4.388775108;14;7.211102551;ellipse;2.83E-06;false;45786;217;13
149268;4.11E-05;blood vessel development;14306;1568;265;4.385761042;14;8;ellipse;2.88E-06;false;1568;217;16
151451;4.11E-05;positive regulation of T cell proliferation;14306;42102;42;4.385761042;14;5.291502622;ellipse;2.88E-06;false;42102;217;7
151823;4.20E-05;cell cycle phase;14306;22403;435;4.376380752;14;9.16515139;ellipse;2.96E-06;false;22403;217;21
148633;4.41E-05;protein modification by small protein conjugation;14306;32446;206;4.355615322;14;7.483314774;ellipse;3.12E-06;false;32446;217;14
148549;4.49E-05;regulation of cyclin-dependent protein kinase activity;14306;79;60;4.347689004;14;5.656854249;ellipse;3.20E-06;false;79;217;8
149788;4.50E-05;cell surface receptor linked signaling pathway;14306;7166;1280;4.346386228;14;12.80624847;ellipse;3.23E-06;false;7166;217;41
149944;4.77E-05;angiogenesis;14306;1525;152;4.321880423;14;6.92820323;ellipse;3.45E-06;false;1525;217;12
155134;4.77E-05;interleukin-6-mediated signaling pathway;14306;70102;3;4.321880423;14;3.464101615;ellipse;3.44E-06;false;70102;217;3
151648;4.86E-05;negative regulation of RNA metabolic process;14306;51253;404;4.313801787;14;8.94427191;ellipse;3.54E-06;false;51253;217;20
149521;5.01E-05;cellular macromolecule catabolic process;14306;44265;441;4.299864922;14;9.16515139;ellipse;3.67E-06;false;44265;217;21
149114;5.14E-05;regulation of biosynthetic process;14306;9889;3045;4.288724211;14;17.32050808;ellipse;3.79E-06;false;9889;217;75
148385;5.65E-05;protein catabolic process;14306;30163;339;4.247682717;14;8.485281374;ellipse;4.23E-06;false;30163;217;18
152907;5.65E-05;vasculature development;14306;1944;273;4.247682717;14;8;ellipse;4.23E-06;false;1944;217;16
153868;5.65E-05;neurogenesis;14306;22008;637;4.247682717;14;10.19803903;ellipse;4.23E-06;false;22008;217;26
150540;5.96E-05;female sex differentiation;14306;46660;83;4.225095565;14;6;ellipse;4.48E-06;false;46660;217;9
149817;6.76E-05;anatomical structure homeostasis;14306;60249;107;4.169909384;14;6.32455532;ellipse;5.11E-06;false;60249;217;10
148777;6.92E-05;positive regulation of lymphocyte proliferation;14306;50671;64;4.159979543;14;5.656854249;ellipse;5.26E-06;false;50671;217;8
148746;7.03E-05;proteolysis involved in cellular protein catabolic process;14306;51603;311;4.153159542;14;8.246211251;ellipse;5.37E-06;false;51603;217;17
148776;7.71E-05;positive regulation of mononuclear cell proliferation;14306;32946;65;4.113039079;14;5.656854249;ellipse;5.92E-06;false;32946;217;8
148386;7.77E-05;cellular protein catabolic process;14306;44257;314;4.109733469;14;8.246211251;ellipse;6.10E-06;false;44257;217;17
148483;7.77E-05;regulation of ossification;14306;30278;86;4.109733469;14;6;ellipse;6.02E-06;false;30278;217;9
149450;7.77E-05;cell migration;14306;16477;281;4.109733469;14;8;ellipse;6.11E-06;false;16477;217;16
151650;7.77E-05;chemical homeostasis within a tissue;14306;48875;9;4.109733469;14;4;ellipse;6.11E-06;false;48875;217;4
154387;7.77E-05;surfactant homeostasis;14306;43129;9;4.109733469;14;4;ellipse;6.11E-06;false;43129;217;4
148634;7.85E-05;protein ubiquitination;14306;16567;189;4.105064054;14;7.211102551;ellipse;6.21E-06;false;16567;217;13
151787;8.36E-05;positive regulation of leukocyte proliferation;14306;70665;66;4.077806082;14;5.656854249;ellipse;6.64E-06;false;70665;217;8
152041;8.65E-05;regulation of anatomical structure size;14306;90066;317;4.062766998;14;8.246211251;ellipse;6.91E-06;false;90066;217;17
149860;8.80E-05;heart development;14306;7507;221;4.055570797;14;7.483314774;ellipse;7.06E-06;false;7507;217;14
148786;8.82E-05;reproductive structure development;14306;48608;163;4.054477838;14;6.92820323;ellipse;7.11E-06;false;48608;217;12
153274;8.98E-05;regulation of T cell differentiation;14306;45580;48;4.046524673;14;5.291502622;ellipse;7.28E-06;false;45580;217;7
149729;9.17E-05;regulation of macromolecule biosynthetic process;14306;10556;2877;4.037498032;14;16.85229955;ellipse;7.47E-06;false;10556;217;71
148578;9.98E-05;response to wounding;14306;9611;541;4.00082827;14;9.591663047;ellipse;8.17E-06;false;9611;217;23
148671;1.07E-04;regulation of transcription from RNA polymerase II promoter;14306;6357;747;3.968713579;14;10.58300524;ellipse;8.84E-06;false;6357;217;28
