Matching.Attribute;biogrid;Ensembl;Ensembl by Entrez/NCBI combined;Label;Human Readable Label;entrez gene/locuslink;ncbi_gene_id;cl1.Status
ENSG00000103197;113100;ENSG00000103197;ENSG00000103197;TSC2;PPP1R160;PPP1R160|TSC4|7249|TSC2|LAM;7249;Outlier
ENSG00000100485;112538;ENSG00000100485;ENSG00000100485;SOS2;SOS2;6655|SOS2;6655;"Cluster;Outlier"
ENSG00000168395;124016;ENSG00000168395;ENSG00000168395;ING5;ING5;ING5|84289|p28ING5;84289;"Cluster;Outlier"
ENSG00000100425;117273;ENSG00000100425;ENSG00000100425;BRD1;BRD1;BRD1|BRPF1|BRPF2|23774|RP3-522J7.4|BRL;23774;"Cluster;Outlier"
ENSG00000100387;115301;ENSG00000100387;ENSG00000100387;RBX1;RNF75;RNF75|RP11-554C12.1|BA554C12.1|9978|ROC1|RBX1;9978;Outlier
ENSG00000100030;111580;ENSG00000100030;ENSG00000100030;MAPK1;PRKM1;PRKM1|5594|PRKM2|p41mapk|ERT1|p41|p40|P42MAPK|ERK-2|ERK2|p38|p42-MAPK|MAPK2|MAPK1|ERK;5594;Outlier
ENSG00000113594;110165;ENSG00000113594;ENSG00000113594;LIFR;SJS2;SJS2|CD118|LIFR|STWS|3977|SWS|LIF-R;3977;Outlier
ENSG00000099985;111049;ENSG00000099985;ENSG00000099985;OSM;OSM;OSM|5008;5008;Outlier
ENSG00000111276;107461;ENSG00000111276;ENSG00000111276;CDKN1B;CDKN4;CDKN4|1027|CDKN1B|MEN1B|MEN4|P27KIP1|KIP1;1027;Outlier
ENSG00000099804;107432;ENSG00000099804;ENSG00000099804;CDC34;E2-CDC34;E2-CDC34|CDC34|997|UBE2R1|UBC3|UBCH3;997;Outlier
ENSG00000110092;107067;ENSG00000110092;ENSG00000110092;CCND1;PRAD1;595|PRAD1|CCND1|D11S287E|BCL1|U21B31;595;"Cluster;Outlier"
ENSG00000091831;108403;ENSG00000091831;ENSG00000091831;ESR1;ESR;ESR|ESTRR|Era|2099|RP1-130E4.1|ESR1|ER|ESRA|NR3A1;2099;"Cluster;Outlier"
ENSG00000141736;108376;ENSG00000141736;ENSG00000141736;ERBB2;CD340;CD340|MLN 19|TKR1|NGL|ERBB2|HER-2/neu|2064|HER2|HER-2|NEU;2064;"Cluster;Outlier"
ENSG00000132470;109897;ENSG00000132470;ENSG00000132470;ITGB4;ITGB4;3691|ITGB4|CD104;3691;"Cluster;Outlier"
ENSG00000112576;107336;ENSG00000112576;ENSG00000112576;CCND3;CCND3;CCND3|896|RP5-973N23.3;896;Outlier
ENSG00000146648;108276;ENSG00000146648;ENSG00000146648;EGFR;PIG61;PIG61|ERBB1|mENA|ERBB|HER1|NISBD2|1956|EGFR;1956;"Cluster;Outlier"
ENSG00000178568;108378;ENSG00000178568;ENSG00000178568;ERBB4;ERBB4;ERBB4|ALS19|2066|p180erbB4|HER4;2066;"Outlier;Overlap"
ENSG00000011465;108002;ENSG00000011465;ENSG00000011465;DCN;PGII;1634|PGII|PGS2|PG40|DSPG2|SLRR1B|DCN|CSCD;1634;Outlier
ENSG00000004468;107390;ENSG00000004468;ENSG00000004468;CD38;T10;T10|ADPRC 1|952|CD38;952;"Cluster;Outlier"
ENSG00000010610;107358;ENSG00000010610;ENSG00000010610;CD4;CD4;CD4|CD4mut|920;920;Outlier
ENSG00000113070;108172;ENSG00000113070;ENSG00000113070;HBEGF;DTS;DTS|DTR|DTSF|HEGFL|1839|HBEGF;1839;"Outlier;Overlap"
